,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,Amount,date,T_id,Email,location,name
10,214034,2.062099501,-0.047439515,-1.256738822,0.365783595,-0.079022774,-1.258004138,0.170492264,-0.345604442,0.681828645,0.012514101,-0.703217809,0.151394592,-0.237581178,0.525031288,0.856311505,-0.223607285,-0.446667123,-0.073211801,-0.324694224,-0.271591764,0.261471942,0.918012739,0.01083104,0.01649596,0.228419458,-0.097636873,-0.014938986,-0.058815598,1,12-12-16,jfjd9928,mr.sujitk12@gmail.com,ktqqgx,aanchal
11,237484,-0.633172262,0.042443627,1.620544729,-2.411617704,0.426814345,-0.412781826,0.532352906,-0.162442809,1.091871498,-1.601475667,-0.881480371,0.087310307,-0.027686798,-0.246006165,1.32382477,-0.591913131,-0.334871654,0.105999734,1.43715955,0.233186771,-0.270004774,-0.644487931,-0.213886914,0.462722752,0.364336905,-0.400322587,-0.117148195,-0.145604142,22.7,12-13-2016,jdeh3345,aanchal@gmail.com,shawntriple,sritam
12,183293,2.235257964,-1.478130319,-0.703674375,-1.875986445,-1.174868143,0.040213754,-1.457018803,0.068531901,-1.405482806,1.739106315,0.52420622,-0.246763136,0.699333862,-0.298331331,0.010979804,0.353290577,-0.265492576,0.663009732,0.126611598,-0.321653442,-0.306478769,-0.5956947,0.417357227,0.206465429,-0.599841986,-0.505944525,0.020427123,-0.037630772,33.75,12-14-2016,rjdj4457,pandasritam265@gmail.com,fw1rpf,manesh
13,222854,2.103126057,0.064294339,-2.101853877,0.205244198,0.953635428,-0.526890102,0.617654285,-0.416724814,0.396012761,-0.122769115,-1.326353568,0.973263354,1.485808747,0.124729145,-0.380947096,-0.633527648,-0.468187764,-0.542160262,0.510875607,-0.078485025,-0.029010461,0.158859805,-0.059818997,0.100832242,0.525191953,-0.217720715,-0.035786284,-0.060341262,24.58,12-15-2016,jfjf4857,manispanda098@gmail.com,9cz2q6,priyabrata
14,95400,1.230298989,-0.009942191,-1.213121423,0.088726279,2.165638047,3.394158881,-0.40862748,0.791560581,-0.150539662,0.111564155,-0.190305804,0.001121414,0.008095191,0.473827481,1.12745903,0.479466629,-0.972194569,0.380497962,-0.112228925,0.045319222,0.035663368,-0.067189049,-0.17192184,1.009152149,0.822277396,-0.268684684,0.014870669,0.020617194,34.9,12-17-2016,ewok3345,priyabrata007.m@gmail.com,jharashree,jharashree pati
15,15781,-25.26635502,14.32325381,-26.82367291,6.349247807,-18.66425061,-4.647403049,-17.97121202,16.63310306,-3.768350971,-8.303239351,4.783257367,-6.699252074,0.846767865,-6.576276436,-0.06233038,-5.961659873,-12.21848172,-4.791841983,0.894853522,1.658288844,1.78070097,-1.861318147,-1.188167293,0.156667051,1.768191982,-0.219916008,1.411854777,0.414656384,99.99,12-17-2016,jfjd5567,jharashreepati02@gmail.com,KK9ZD,abinash
16,740,-0.848086552,-0.573440512,1.491398602,-1.739996626,0.411572231,1.453711949,0.815612749,-0.175545822,0.573243113,-0.522165619,0.020680302,0.645930771,1.316042834,-1.101346967,-0.25841911,0.844939972,-1.410315913,0.307772601,-0.033487185,0.137852616,-0.016864219,0.439242006,-0.380274465,-1.557906991,0.059606497,1.306595218,-0.392185659,-0.52142946,206.77,12-17-2016,laie3345,abinash99m@gmail.com,DHZTM,ritesh
17,130378,-2.023290925,-0.161507755,1.812049794,-1.942099104,-0.179536123,-0.711386332,-0.474846469,0.457833571,1.4200791,-1.218351827,0.525382829,0.514282566,-1.314002347,0.135190396,0.156842614,0.158407558,-0.654520189,0.966799771,0.353441993,-0.282798162,-0.028237776,0.105609808,-0.826628871,0.028280742,0.430960966,-0.82045751,0.003992125,-0.453677434,1,12-17-2016,eowk4444,ritesh.sahu.sm@gmail.com,AG8BI,padmaja
18,274143,-1.841476912,-1.195716054,0.272343117,-0.318285235,1.093019061,0.919522816,0.049818828,0.663373953,0.732937645,-0.876883613,-0.640969542,0.067957031,-0.917167327,0.18285389,0.833453153,-1.121604938,0.761886957,-1.697393242,-0.311840867,-0.411043667,-0.277697512,-0.289815779,1.498860797,-0.352522265,-1.155427867,-0.391486348,0.045055685,-0.21396356,108.99,12-17-2016,dkdk5858,meher16413@gmail.com,6M7QD,satyabrata
19,263749,-0.111612784,0.056412933,1.062788367,-0.730027157,0.562901107,-0.274253545,0.608937995,-0.409136862,1.21532584,-0.248933774,-1.817917094,-0.850022661,-0.877352585,-0.484761045,0.344331978,0.181328688,-1.12247223,0.75235868,-0.252276899,-0.085590003,0.287303937,1.258696633,-0.247016248,-0.64556738,-0.833726767,-0.334384424,-0.202130224,-0.174099001,22,12-21-2016,oror4848,satyabrata1718@gmail.com,406i2v,soumya ranjan
